Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,Unnamed: 30_level_0,Unnamed: 31_level_0
No.,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
33.0,Aaron Jones,30.0,RB,3,3.0,42.0,228.0,1,11.0,64.3,39.0,5.4,76.0,14.0,14.0,12.0,97.0,8.1,1,3.0,42.9,20.0,4.0,32.3,85.7%,6.9,54.0,6.0,325.0,2,1.0
32.0,Ty Chandler,26.0,RB,3,0.0,25.0,112.0,0,5.0,44.0,25.0,4.5,37.3,8.3,3.0,3.0,25.0,8.3,0,2.0,100.0,10.0,1.0,8.3,100.0%,8.3,28.0,4.9,137.0,0,
14.0,Sam Darnold,27.0,QB,3,3.0,8.0,35.0,0,3.0,37.5,18.0,4.4,11.7,2.7,,,,,0,,,,,,,,8.0,4.4,35.0,0,3.0
83.0,Jalen Nailor,25.0,WR,3,2.0,1.0,3.0,0,1.0,100.0,3.0,3.0,1.0,0.3,9.0,7.0,106.0,15.1,3,7.0,77.8,26.0,2.3,35.3,77.8%,11.8,8.0,13.6,109.0,3,
37.0,Myles Gaskin,27.0,RB,3,0.0,1.0,-3.0,0,,0.0,-3.0,-3.0,-1.0,0.3,,,,,0,,,,,,,,1.0,-3.0,-3.0,0,
12.0,Nick Mullens,29.0,QB,2,0.0,1.0,0.0,0,,0.0,0.0,0.0,0.0,0.5,,,,,0,,,,,,,,1.0,0.0,,0,
18.0,Justin Jefferson,25.0,WR,3,3.0,,,0,,,,,,,21.0,14.0,273.0,19.5,3,10.0,57.1,97.0,4.7,91.0,66.7%,13.0,14.0,19.5,273.0,3,
86.0,Johnny Mundt,30.0,TE,3,2.0,,,0,,,,,,,9.0,5.0,29.0,5.8,1,1.0,22.2,9.0,1.7,9.7,55.6%,3.2,5.0,5.8,29.0,1,
3.0,Jordan Addison,22.0,WR,1,1.0,,,0,,,,,,,4.0,3.0,35.0,11.7,0,2.0,50.0,16.0,3.0,35.0,75.0%,8.8,3.0,11.7,35.0,0,
4.0,Brandon Powell,29.0,WR,3,0.0,,,0,,,,,,,4.0,3.0,29.0,9.7,0,2.0,50.0,13.0,1.0,9.7,75.0%,7.3,3.0,9.7,29.0,0,
30.0,C.J. Ham,31.0,FB,3,1.0,,,0,,,,,,,2.0,2.0,11.0,5.5,0,,0.0,8.0,0.7,3.7,100.0%,5.5,2.0,5.5,11.0,0,1.0
84.0,Josh Oliver,27.0,TE,3,3.0,,,0,,,,,,,3.0,2.0,27.0,13.5,0,1.0,33.3,22.0,0.7,9.0,66.7%,9.0,2.0,13.5,27.0,0,
11.0,Trent Sherfield,28.0,WR,3,0.0,,,0,,,,,,,3.0,2.0,25.0,12.5,0,1.0,66.7,17.0,0.7,8.3,66.7%,8.3,2.0,12.5,25.0,0,
,Team Total,27.5,,3,,78.0,375.0,1,20.0,53.8,39.0,4.8,125.0,26.0,72.0,53.0,657.0,12.4,8,29.0,51.4,97.0,17.7,219.0,73.6%,9.1,131.0,7.9,1032.0,9,5.0
,Opp Total,,,3,,60.0,214.0,1,,,,3.6,71.3,20.0,,78.0,718.0,9.2,2,,,,26.0,239.3,,,,,932.0,3,4.0
